Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
7/7/2021 10:00:00 PM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/7/2021 11:00:00 PM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/8/2021 12:00:00 AM,Reseda,11,1-hr,µg/m3,N/A,N/A,
7/8/2021 1:00:00 AM,Reseda,11,1-hr,µg/m3,N/A,N/A,
7/8/2021 2:00:00 AM,Reseda,20,1-hr,µg/m3,N/A,N/A,
7/8/2021 3:00:00 AM,Reseda,14,1-hr,µg/m3,N/A,N/A,
7/8/2021 4:00:00 AM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/8/2021 5:00:00 AM,Reseda,12,1-hr,µg/m3,N/A,N/A,
7/8/2021 6:00:00 AM,Reseda,16,1-hr,µg/m3,N/A,N/A,
7/8/2021 7:00:00 AM,Reseda,18,1-hr,µg/m3,N/A,N/A,
7/8/2021 10:00:00 AM,Reseda,19,1-hr,µg/m3,N/A,N/A,
7/8/2021 11:00:00 AM,Reseda,22,1-hr,µg/m3,N/A,N/A,
7/8/2021 12:00:00 PM,Reseda,16,1-hr,µg/m3,N/A,N/A,
7/8/2021 1:00:00 PM,Reseda,17,1-hr,µg/m3,N/A,N/A,
7/8/2021 2:00:00 PM,Reseda,23,1-hr,µg/m3,N/A,N/A,
7/8/2021 3:00:00 PM,Reseda,14,1-hr,µg/m3,N/A,N/A,
7/8/2021 4:00:00 PM,Reseda,17,1-hr,µg/m3,N/A,N/A,
7/8/2021 5:00:00 PM,Reseda,15,1-hr,µg/m3,N/A,N/A,
7/8/2021 6:00:00 PM,Reseda,14,1-hr,µg/m3,N/A,N/A,
7/8/2021 7:00:00 PM,Reseda,12,1-hr,µg/m3,N/A,N/A,
7/8/2021 8:00:00 PM,Reseda,16,1-hr,µg/m3,N/A,N/A,
7/8/2021 9:00:00 PM,Reseda,14,1-hr,µg/m3,N/A,N/A,
7/8/2021 10:00:00 PM,Reseda,20,1-hr,µg/m3,N/A,N/A,
7/8/2021 11:00:00 PM,Reseda,18,1-hr,µg/m3,N/A,N/A,
7/9/2021 12:00:00 AM,Reseda,14,1-hr,µg/m3,N/A,N/A,
7/9/2021 1:00:00 AM,Reseda,15,1-hr,µg/m3,N/A,N/A,
7/9/2021 2:00:00 AM,Reseda,19,1-hr,µg/m3,N/A,N/A,
7/9/2021 3:00:00 AM,Reseda,20,1-hr,µg/m3,N/A,N/A,
7/9/2021 4:00:00 AM,Reseda,12,1-hr,µg/m3,N/A,N/A,
7/9/2021 5:00:00 AM,Reseda,12,1-hr,µg/m3,N/A,N/A,
7/9/2021 6:00:00 AM,Reseda,14,1-hr,µg/m3,N/A,N/A,
7/9/2021 7:00:00 AM,Reseda,22,1-hr,µg/m3,N/A,N/A,
7/9/2021 8:00:00 AM,Reseda,23,1-hr,µg/m3,N/A,N/A,
7/9/2021 9:00:00 AM,Reseda,17,1-hr,µg/m3,N/A,N/A,
7/9/2021 10:00:00 AM,Reseda,17,1-hr,µg/m3,N/A,N/A,
7/9/2021 11:00:00 AM,Reseda,19,1-hr,µg/m3,N/A,N/A,
7/9/2021 12:00:00 PM,Reseda,17,1-hr,µg/m3,N/A,N/A,
7/9/2021 1:00:00 PM,Reseda,20,1-hr,µg/m3,N/A,N/A,
7/9/2021 2:00:00 PM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/9/2021 3:00:00 PM,Reseda,16,1-hr,µg/m3,N/A,N/A,
7/9/2021 4:00:00 PM,Reseda,12,1-hr,µg/m3,N/A,N/A,
7/9/2021 5:00:00 PM,Reseda,12,1-hr,µg/m3,N/A,N/A,
7/9/2021 6:00:00 PM,Reseda,12,1-hr,µg/m3,N/A,N/A,
7/9/2021 7:00:00 PM,Reseda,14,1-hr,µg/m3,N/A,N/A,
7/9/2021 8:00:00 PM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/9/2021 9:00:00 PM,Reseda,7,1-hr,µg/m3,N/A,N/A,
7/9/2021 10:00:00 PM,Reseda,7,1-hr,µg/m3,N/A,N/A,
7/9/2021 11:00:00 PM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/10/2021 12:00:00 AM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/10/2021 1:00:00 AM,Reseda,11,1-hr,µg/m3,N/A,N/A,
7/10/2021 2:00:00 AM,Reseda,12,1-hr,µg/m3,N/A,N/A,
7/10/2021 3:00:00 AM,Reseda,14,1-hr,µg/m3,N/A,N/A,
7/10/2021 4:00:00 AM,Reseda,18,1-hr,µg/m3,N/A,N/A,
7/10/2021 5:00:00 AM,Reseda,15,1-hr,µg/m3,N/A,N/A,
7/10/2021 6:00:00 AM,Reseda,17,1-hr,µg/m3,N/A,N/A,
