Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
7/3/2021 6:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
7/3/2021 7:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/3/2021 8:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
7/3/2021 9:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/3/2021 10:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/3/2021 11:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/4/2021 12:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/4/2021 1:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/4/2021 2:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/4/2021 3:00:00 AM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/4/2021 4:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/4/2021 5:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/4/2021 6:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/4/2021 7:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/4/2021 8:00:00 AM,Central Los Angeles,27,1-hr,µg/m3,N/A,N/A,
7/4/2021 9:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/4/2021 10:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/4/2021 11:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/4/2021 12:00:00 PM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
7/4/2021 1:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/4/2021 2:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/4/2021 3:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/4/2021 4:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/4/2021 5:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/4/2021 6:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/4/2021 7:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/4/2021 8:00:00 PM,Central Los Angeles,95,1-hr,µg/m3,N/A,N/A,
7/4/2021 9:00:00 PM,Central Los Angeles,302,1-hr,µg/m3,N/A,N/A,
7/4/2021 10:00:00 PM,Central Los Angeles,281,1-hr,µg/m3,N/A,N/A,
7/4/2021 11:00:00 PM,Central Los Angeles,199,1-hr,µg/m3,N/A,N/A,
7/5/2021 12:00:00 AM,Central Los Angeles,57,1-hr,µg/m3,N/A,N/A,
7/5/2021 1:00:00 AM,Central Los Angeles,29,1-hr,µg/m3,N/A,N/A,
7/5/2021 2:00:00 AM,Central Los Angeles,28,1-hr,µg/m3,N/A,N/A,
7/5/2021 3:00:00 AM,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,
7/5/2021 4:00:00 AM,Central Los Angeles,29,1-hr,µg/m3,N/A,N/A,
7/5/2021 5:00:00 AM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
7/5/2021 6:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/5/2021 7:00:00 AM,Central Los Angeles,30,1-hr,µg/m3,N/A,N/A,
7/5/2021 8:00:00 AM,Central Los Angeles,35,1-hr,µg/m3,N/A,N/A,
7/5/2021 9:00:00 AM,Central Los Angeles,35,1-hr,µg/m3,N/A,N/A,
7/5/2021 10:00:00 AM,Central Los Angeles,36,1-hr,µg/m3,N/A,N/A,
7/5/2021 11:00:00 AM,Central Los Angeles,41,1-hr,µg/m3,N/A,N/A,
7/5/2021 12:00:00 PM,Central Los Angeles,32,1-hr,µg/m3,N/A,N/A,
7/5/2021 1:00:00 PM,Central Los Angeles,27,1-hr,µg/m3,N/A,N/A,
7/5/2021 2:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/5/2021 3:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/5/2021 4:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/5/2021 5:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/5/2021 6:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/5/2021 7:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/5/2021 8:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/5/2021 9:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/5/2021 10:00:00 PM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/5/2021 11:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
7/6/2021 12:00:00 AM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/6/2021 1:00:00 AM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
7/6/2021 2:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/6/2021 3:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/6/2021 4:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/6/2021 5:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/6/2021 6:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/6/2021 7:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/6/2021 8:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/6/2021 9:00:00 AM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
7/6/2021 10:00:00 AM,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,
7/6/2021 11:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/6/2021 12:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/6/2021 1:00:00 PM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/6/2021 6:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/6/2021 7:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/6/2021 8:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
7/6/2021 9:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/6/2021 10:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
7/6/2021 11:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/7/2021 12:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/7/2021 1:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/7/2021 2:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/7/2021 3:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/7/2021 4:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/7/2021 5:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/7/2021 6:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/7/2021 7:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/7/2021 8:00:00 AM,Central Los Angeles,29,1-hr,µg/m3,N/A,N/A,
7/7/2021 9:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/7/2021 10:00:00 AM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
7/7/2021 11:00:00 AM,Central Los Angeles,28,1-hr,µg/m3,N/A,N/A,
7/7/2021 12:00:00 PM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
7/7/2021 1:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/7/2021 2:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/7/2021 3:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/7/2021 4:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/7/2021 5:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/7/2021 6:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/7/2021 7:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/7/2021 8:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/7/2021 9:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/7/2021 10:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/7/2021 11:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/8/2021 12:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/8/2021 1:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/8/2021 2:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/8/2021 3:00:00 AM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/8/2021 4:00:00 AM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/8/2021 5:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/8/2021 6:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/8/2021 7:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/8/2021 8:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/8/2021 9:00:00 AM,Central Los Angeles,30,1-hr,µg/m3,N/A,N/A,
7/8/2021 10:00:00 AM,Central Los Angeles,27,1-hr,µg/m3,N/A,N/A,
7/8/2021 11:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/8/2021 12:00:00 PM,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,
7/8/2021 1:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/8/2021 2:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/8/2021 3:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/8/2021 4:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/8/2021 5:00:00 PM,Central Los Angeles,27,1-hr,µg/m3,N/A,N/A,
7/8/2021 6:00:00 PM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/8/2021 7:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/8/2021 8:00:00 PM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
7/8/2021 9:00:00 PM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
7/8/2021 10:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/8/2021 11:00:00 PM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/9/2021 12:00:00 AM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
7/9/2021 1:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/9/2021 2:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/9/2021 3:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/9/2021 4:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/9/2021 5:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/9/2021 6:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/9/2021 7:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/9/2021 8:00:00 AM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
7/9/2021 9:00:00 AM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
7/9/2021 10:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/9/2021 11:00:00 AM,Central Los Angeles,29,1-hr,µg/m3,N/A,N/A,
7/9/2021 12:00:00 PM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
7/9/2021 1:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/9/2021 2:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/9/2021 3:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/9/2021 4:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/9/2021 5:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/9/2021 6:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
7/9/2021 7:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/9/2021 8:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/9/2021 9:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/9/2021 10:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/9/2021 11:00:00 PM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
7/10/2021 12:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/10/2021 1:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/10/2021 2:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/10/2021 3:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/10/2021 4:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/10/2021 5:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/10/2021 6:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/10/2021 7:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/10/2021 8:00:00 AM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
7/10/2021 9:00:00 AM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
7/10/2021 10:00:00 AM,Central Los Angeles,27,1-hr,µg/m3,N/A,N/A,
7/10/2021 11:00:00 AM,Central Los Angeles,30,1-hr,µg/m3,N/A,N/A,
7/10/2021 12:00:00 PM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/10/2021 1:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/10/2021 2:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/10/2021 3:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/10/2021 4:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/10/2021 5:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/10/2021 6:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/10/2021 7:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/10/2021 8:00:00 PM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/10/2021 9:00:00 PM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
7/10/2021 10:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/10/2021 11:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/11/2021 12:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/11/2021 1:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/11/2021 2:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/11/2021 3:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/11/2021 4:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/11/2021 5:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/11/2021 6:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/11/2021 7:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/11/2021 8:00:00 AM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
7/11/2021 9:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/11/2021 10:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/11/2021 11:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/11/2021 12:00:00 PM,Central Los Angeles,31,1-hr,µg/m3,N/A,N/A,
7/11/2021 1:00:00 PM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/11/2021 2:00:00 PM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/11/2021 3:00:00 PM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
7/11/2021 4:00:00 PM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
7/11/2021 5:00:00 PM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/11/2021 6:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/11/2021 7:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/11/2021 8:00:00 PM,Central Los Angeles,27,1-hr,µg/m3,N/A,N/A,
7/11/2021 9:00:00 PM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
7/11/2021 10:00:00 PM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/11/2021 11:00:00 PM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/12/2021 12:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/12/2021 1:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/12/2021 2:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/12/2021 4:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/12/2021 5:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/12/2021 6:00:00 AM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
7/12/2021 7:00:00 AM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
7/12/2021 8:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/12/2021 9:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/12/2021 10:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/12/2021 11:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/12/2021 12:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/12/2021 1:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/12/2021 2:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/12/2021 3:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/12/2021 4:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/12/2021 5:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/12/2021 6:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/12/2021 7:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/12/2021 8:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/12/2021 9:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/12/2021 10:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/12/2021 11:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/13/2021 12:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/13/2021 1:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
7/13/2021 2:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/13/2021 3:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/13/2021 4:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/13/2021 5:00:00 AM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
7/13/2021 6:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/13/2021 7:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
7/13/2021 8:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/13/2021 9:00:00 AM,Central Los Angeles,29,1-hr,µg/m3,N/A,N/A,
7/13/2021 10:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/13/2021 11:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
